iteration,sigma_c_low_ai,sigma_c_medium_ai,sigma_c_high_ai,sigma_f_low_verify,sigma_f_base_verify,sigma_f_high_verify,sigma_f_sus_low,sigma_f_sus_mid,sigma_f_sus_high,candidate_br_low,candidate_br_medium,candidate_br_high,firm_br_verification,firm_br_suspicion_idx
114,0.008547008547008548,0.008547008547008548,0.008547008547008548,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
115,0.00847457627118644,0.00847457627118644,0.00847457627118644,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
116,0.008403361344537815,0.008403361344537815,0.008403361344537815,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
117,0.008333333333333333,0.008333333333333333,0.008333333333333333,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
118,0.008264462809917356,0.008264462809917356,0.008264462809917356,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
119,0.00819672131147541,0.00819672131147541,0.00819672131147541,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
120,0.008130081300813009,0.008130081300813009,0.008130081300813009,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
121,0.008064516129032258,0.008064516129032258,0.008064516129032258,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
122,0.008,0.008,0.008,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
123,0.007936507936507936,0.007936507936507936,0.007936507936507936,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
124,0.007874015748031496,0.007874015748031496,0.007874015748031496,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
125,0.0078125,0.0078125,0.0078125,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
126,0.007751937984496124,0.007751937984496124,0.007751937984496124,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
127,0.007692307692307693,0.007692307692307693,0.007692307692307693,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
128,0.007633587786259542,0.007633587786259542,0.007633587786259542,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
129,0.007575757575757576,0.007575757575757576,0.007575757575757576,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
130,0.007518796992481203,0.007518796992481203,0.007518796992481203,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
131,0.007462686567164179,0.007462686567164179,0.007462686567164179,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
132,0.007407407407407408,0.007407407407407408,0.007407407407407408,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
133,0.007352941176470588,0.007352941176470588,0.007352941176470588,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
134,0.0072992700729927005,0.0072992700729927005,0.0072992700729927005,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
135,0.007246376811594203,0.007246376811594203,0.007246376811594203,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
136,0.007194244604316547,0.007194244604316547,0.007194244604316547,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
137,0.007142857142857143,0.007142857142857143,0.007142857142857143,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
138,0.0070921985815602835,0.0070921985815602835,0.0070921985815602835,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
139,0.007042253521126761,0.007042253521126761,0.007042253521126761,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
140,0.006993006993006993,0.006993006993006993,0.006993006993006993,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
141,0.006944444444444444,0.006944444444444444,0.006944444444444444,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
142,0.006896551724137931,0.006896551724137931,0.006896551724137931,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
143,0.00684931506849315,0.00684931506849315,0.00684931506849315,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
144,0.006802721088435374,0.006802721088435374,0.006802721088435374,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
145,0.006756756756756757,0.006756756756756757,0.006756756756756757,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
146,0.006711409395973154,0.006711409395973154,0.006711409395973154,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
147,0.006666666666666667,0.006666666666666667,0.006666666666666667,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,BaseVerify,1
